WORD,RANK,FREQUENCY,LOG(RANK*FREQUENCY),LOG(TOTAL)
immediately,307,97,10.30155872609058,12.394351422798255
name,308,96,10.294447974441411,12.394351422798255
began,309,96,10.297689468365581,12.394351422798255
less,310,96,10.300920488947028,12.394351422798255
understand,311,95,10.293669803779775,12.394351422798255
answer,312,94,10.286297970079486,12.394351422798255
kind,313,94,10.289497972810157,12.394351422798255
change,314,94,10.292687768178258,12.394351422798255
through,315,94,10.295867421095638,12.394351422798255
opinion,316,93,10.288341706740168,12.394351422798255
put,317,93,10.291501267030537,12.394351422798255
set,318,93,10.294650875933433,12.394351422798255
whether,319,93,10.2977905959381,12.394351422798255
passed,320,93,10.300920488947028,12.394351422798255
looking,321,92,10.293229700179056,12.394351422798255
pretty,322,92,10.296340122593449,12.394351422798255
account,323,92,10.299440900271696,12.394351422798255
character,324,91,10.291603022309179,12.394351422798255
person,325,91,10.294684688846587,12.394351422798255
therefore,326,90,10.286707051696972,12.394351422798255
feeling,327,90,10.289769841227518,12.394351422798255
situation,328,90,10.292823278714408,12.394351422798255
among,329,90,10.295867421095638,12.394351422798255
each,330,90,10.298902324790792,12.394351422798255
children,331,89,10.290754745109203,12.394351422798255
interest,332,89,10.293771338648629,12.394351422798255
near,333,89,10.296778859712584,12.394351422798255
walk,334,88,10.288477807454907,12.394351422798255
true,335,88,10.291467346303273,12.394351422798255
agreeable,336,88,10.294447974441411,12.394351422798255
elizabeth,337,88,10.297419744830568,12.394351422798255
seeing,338,87,10.288954014137602,12.394351422798255
carriage,339,87,10.291908226035034,12.394351422798255
state,340,87,10.294853736264791,12.394351422798255
randalls,341,87,10.2977905959381,12.394351422798255
talk,342,87,10.30071885571719,12.394351422798255
john,343,87,10.303638565820524,12.394351422798255
thinking,344,87,10.306549776027982,12.394351422798255
marry,345,86,10.297891713284868,12.394351422798255
nobody,346,86,10.300786071311231,12.394351422798255
harriet's,347,86,10.303672076200368,12.394351422798255
brought,348,86,10.306549776027982,12.394351422798255
things,349,85,10.297723178692744,12.394351422798255
manners,350,85,10.300584410973777,12.394351422798255
attention,351,85,10.303437479956182,12.394351422798255
taken,352,84,10.294447974441411,12.394351422798255
assure,353,84,10.29728485577661,12.394351422798255
mother,354,84,10.300113711977088,12.394351422798255
ready,355,83,10.290958397272014,12.394351422798255
return,356,83,10.293771338648629,12.394351422798255
